k,auc_pos,mean_pos,mean_neg,cohens_d
0,0.3979591836734694,1.4657828093755363,1.4332605527371776,0.3373304270106914
1,0.5419781774095777,1.446377934795795,1.4658886230721766,-0.1416662461461988
2,0.603960396039604,1.532144613195174,1.549462227188811,-0.2099269450279851
3,0.5308648211759952,1.5215365815870832,1.5355305902811947,-0.12054257570715039
4,0.6091634673671449,1.309452089047668,1.3353970774582453,-0.24554321826374204
5,0.5622853101636694,1.5533784734140528,1.5743979093979816,-0.17951942719954805
6,0.6902404526166902,1.5256348936864645,1.6021695392472404,-0.5963743285186419
7,0.4726712467165084,1.6614055161428924,1.6374514005622085,0.2613476176132434
8,0.6858456253788644,1.3492710469382825,1.4703805860208006,-0.7181163075240756
9,0.30465750656698326,1.4478102255575727,1.4004332812464968,0.8044086776006351
10,0.48386037583350167,1.1634487881518827,1.1817271070820945,-0.19970991094582122
11,0.6383612851081026,1.5545710862273037,1.6304520234769704,-0.5606827543469161
12,0.6121943827035765,1.4173528976959757,1.4879908671184463,-0.4653290970163963
13,0.5458173368357244,1.5976415530289754,1.5953794121742249,0.019982065410690194
14,0.39790866841786215,1.5283061926907833,1.4827997027611246,0.4271297700722142
15,0.441755910284906,1.5604097913987567,1.5309212110480483,0.223630253839458
16,0.5957264093756315,1.6532761407370615,1.6794306064138607,-0.2545545191004728
17,0.6025964841382097,1.615065343309157,1.6477079659092182,-0.28278756398346133
18,0.6963022832895535,1.2384345490153472,1.292712473139471,-0.6151270045588537
19,0.5193978581531622,1.205779792058586,1.211128639323371,-0.08291200742705075
20,0.6898868458274399,1.495113689710598,1.6141527951980124,-0.7743896418609362
21,0.7253485552636896,1.2794081279546907,1.3341934534968163,-0.8545118346659046
22,0.38977571226510416,1.4999592147841312,1.4563750077267081,0.31089016918286466
23,0.6555869872701555,1.3648177190582351,1.4529040942386704,-0.5214941237782548
24,0.8470903212770257,1.3054472092944798,1.5186632871627808,-1.4765007289055694
25,0.5289957567185289,1.3966049156566658,1.4015893473917125,-0.026638189314112562
26,0.47630834512022635,1.6042305673703108,1.5956211625313272,0.0866051939667196
