dataset,bag_size,n_prototypes,lambda_fused_lasso,lambda_prototypes,n_runs,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
Herring,164,30,1e-08,0.000110875502982,3,0.7034690799396682,7.850462293418876e-17,0.7034690799396681,0.7034690799396683
Herring,164,30,0.0001,0.000110875502982,3,0.7034690799396682,7.850462293418876e-17,0.7034690799396681,0.7034690799396683
Herring,164,30,0.01,0.000110875502982,3,0.6864756158873805,0.0022641187027044067,0.6839135243841126,0.6890377073906484
Herring,164,50,1e-08,0.000110875502982,3,0.709904474610357,0.01927394870443098,0.6880939484435705,0.7317150007771435
Herring,164,50,0.0001,0.000110875502982,3,0.709904474610357,0.01927394870443098,0.6880939484435705,0.7317150007771435
Herring,164,50,0.01,0.000110875502982,3,0.703469079939668,0.027169424432452946,0.6727239819004524,0.7342141779788837
Herring,164,70,1e-08,0.000110875502982,3,0.7557566616390146,0.009869064621268919,0.7445887636921653,0.7669245595858638
Herring,164,70,0.0001,0.000110875502982,3,0.7531422825540472,0.011980590052172087,0.7395849686463699,0.7666995964617246
Herring,164,70,0.01,0.000110875502982,3,0.7191804927099046,0.02450229996897596,0.6914535301235123,0.7469074552962969
