dataset,bag_size,n_prototypes,lambda_fused_lasso,lambda_prototypes,n_runs,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
TwoPatterns,37,32,0.0010772021623579,1e-08,3,0.9833333333333334,0.0018427786989580264,0.9812480329286487,0.9854186337380181
TwoPatterns,37,32,0.0010772021623579,0.0001,3,0.98325,0.0019843134832983923,0.9810045379094716,0.9854954620905283
TwoPatterns,37,32,0.0010772021623579,0.01,3,0.9820833333333333,0.002096624270901539,0.979710779622432,0.9844558870442346
