dataset,policy,multiplier,bag_size_base,bag_size_effective,n_prototypes,lambda_fused_lasso,lambda_prototypes,n_runs,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
TwoPatterns,short,0.5,37,18,32,0.0010772021623579,0.0037143316800949,3,0.9555833333333333,0.003502974926163957,0.9516193440408263,0.9595473226258404
TwoPatterns,base,1.0,37,37,32,0.0010772021623579,0.0037143316800949,3,0.9819166666666668,0.005822012824902762,0.975328438950168,0.9885048943831656
TwoPatterns,long,1.5,37,56,32,0.0010772021623579,0.0037143316800949,3,0.9824999999999999,0.0010897247358851376,0.9812668603755724,0.9837331396244274
