dataset,bag_size,n_prototypes,lambda_fused_lasso,lambda_prototypes,n_runs,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
TwoPatterns,37,30,1e-08,0.0037143316800949,3,0.9834999999999999,0.005202163011671207,0.9776131983782929,0.989386801621707
TwoPatterns,37,30,0.0001,0.0037143316800949,3,0.9834166666666667,0.004692636075100392,0.9781064490523771,0.9887268842809563
TwoPatterns,37,30,0.01,0.0037143316800949,3,0.9653333333333333,0.0107596855592222,0.9531576029194684,0.9775090637471981
TwoPatterns,37,50,1e-08,0.0037143316800949,3,0.9880000000000001,0.0017500000000000293,0.9860196885766797,0.9899803114233205
TwoPatterns,37,50,0.0001,0.0037143316800949,3,0.9874166666666667,0.002696448281227299,0.9843653481902627,0.9904679851430708
TwoPatterns,37,50,0.01,0.0037143316800949,3,0.9645833333333332,0.008412540242598103,0.9550636478810134,0.9741030187856531
TwoPatterns,37,70,1e-08,0.0037143316800949,3,0.9879166666666667,0.0023228933107943515,0.9852880654332263,0.990545267900107
TwoPatterns,37,70,0.0001,0.0037143316800949,3,0.9875000000000002,0.0009013878188659441,0.9864799836602618,0.9885200163397385
TwoPatterns,37,70,0.01,0.0037143316800949,3,0.9685,0.004670385423067285,0.9632149613687947,0.9737850386312054
