dataset,policy,multiplier,bag_size_base,bag_size_effective,n_prototypes,lambda_fused_lasso,lambda_prototypes,n_runs,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
Herring,short,0.5,164,82,60,3.0106231124573584e-05,0.000110875502982,3,0.7455756661639015,0.029472066941345795,0.7122248828308666,0.7789264494969363
Herring,base,1.0,164,164,60,3.0106231124573584e-05,0.000110875502982,3,0.706184012066365,0.016157781889402215,0.6878997606085919,0.7244682635241382
Herring,long,1.5,164,246,60,3.0106231124573584e-05,0.000110875502982,3,0.7126194067370538,0.03849001794597504,0.6690638511814982,0.7561749622926094
